timestamp_ms,frame_number,trial,HEAD_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
27064,787,STILL,0.00063651,0.00066713,0.00107762,0.00042394,0.00120932,0.00149934,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27096,788,STILL,0.00082310,0.00093000,0.00135023,0.00039275,0.00120381,0.00136063,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27127,789,STILL,0.00081400,0.00094209,0.00128635,0.00038437,0.00131058,0.00156662,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27160,790,STILL,0.00085727,0.00101662,0.00115148,0.00045666,0.00119291,0.00191217,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27192,791,STILL,0.00089789,0.00098003,0.00107837,0.00049598,0.00126301,0.00243065,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27224,792,STILL,0.00126307,0.00110488,0.00126466,0.00056644,0.00121514,0.00262839,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27256,793,STILL,0.00188401,0.00185131,0.00160428,0.00083718,0.00124471,0.00249814,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27288,794,STILL,0.00310548,0.00240798,0.00290169,0.00111906,0.00129783,0.00292785,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27336,795,STILL,0.00536458,0.00282983,0.00286553,0.00131760,0.00114958,0.00286727,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27368,796,STILL,0.00710840,0.00436454,0.00391050,0.00184465,0.00162897,0.00308934,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27400,797,STILL,0.00929133,0.00625967,0.00496144,0.00268393,0.00192723,0.00301878,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27432,798,STILL,0.01165826,0.00729687,0.00550670,0.00319095,0.00206326,0.00278725,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27465,799,STILL,0.01378395,0.00957782,0.00608836,0.00379862,0.00197466,0.00248727,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27497,800,STILL,0.01482156,0.01083640,0.00665533,0.00418186,0.00197759,0.00223511,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY
27529,801,STILL,0.01589043,0.01209736,0.00688498,0.00436979,0.00187615,0.00206744,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27560,802,STILL,0.01664933,0.01257773,0.00656304,0.00458444,0.00184344,0.00209764,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27592,803,STILL,0.01626389,0.01322341,0.00730548,0.00483181,0.00204521,0.00191519,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27624,804,STILL,0.01584355,0.01252907,0.00663986,0.00484083,0.00248085,0.00208802,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27656,805,STILL,0.01503823,0.01146008,0.00626929,0.00456140,0.00231178,0.00217985,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27688,806,STILL,0.01383001,0.01222774,0.00631175,0.00466109,0.00246076,0.00217565,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27736,807,STILL,0.01284629,0.01074249,0.00608570,0.00444300,0.00274654,0.00274507,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27768,808,STILL,0.01239262,0.00966895,0.00577754,0.00412617,0.00284125,0.00267940,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27800,809,STILL,0.01126546,0.00803197,0.00571157,0.00380157,0.00284586,0.00282434,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27833,810,STILL,0.00964784,0.00752498,0.00503795,0.00359873,0.00280029,0.00249269,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27864,811,STILL,0.00820067,0.00734330,0.00407894,0.00330866,0.00264891,0.00245128,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27896,812,STILL,0.00694827,0.00633456,0.00375789,0.00285251,0.00176177,0.00207094,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27928,813,STILL,0.00584642,0.00609924,0.00330935,0.00243426,0.00163500,0.00193278,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27960,814,STILL,0.00479680,0.00439849,0.00284253,0.00184523,0.00133218,0.00181633,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
27992,815,STILL,0.00367387,0.00359798,0.00275109,0.00146517,0.00108281,0.00112753,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
28024,816,STILL,0.00266255,0.00360378,0.00240515,0.00129147,0.00098626,0.00111523,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
28056,817,STILL,0.00213462,0.00351241,0.00204504,0.00117362,0.00094691,0.00106562,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
28105,818,STILL,0.00199664,0.00340307,0.00192686,0.00090520,0.00091671,0.00121861,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
28136,819,STILL,0.00162274,0.00275637,0.00170963,0.00070979,0.00078544,0.00109198,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING
