timestamp_ms,frame_number,HEAD_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
46311,902,0.00309423,0.00216606,0.01512170,0.00255028,0.00622947,0.00756236,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46343,903,0.00242322,0.00206496,0.01494866,0.00247770,0.00543407,0.00644446,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46374,904,0.00265217,0.00269108,0.01495479,0.00236043,0.00547285,0.00634528,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46407,905,0.00261642,0.00254109,0.01397607,0.00238404,0.00532827,0.00684994,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46455,906,0.00229297,0.00247171,0.00286535,0.00210356,0.00559284,0.00667568,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46486,907,0.00167155,0.00235407,0.00128549,0.00219734,0.00506852,0.00678096,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46519,908,0.00167447,0.00238974,0.00106332,0.00194094,0.00474971,0.00657497,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46551,909,0.00237494,0.00244399,0.00117017,0.00178936,0.00429486,0.00581691,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46583,910,0.00242653,0.00213233,0.00120419,0.00175610,0.00355721,0.00547267,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46615,911,0.00236069,0.00243178,0.00143487,0.00144541,0.00350666,0.00632388,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46647,912,0.00219865,0.00192951,0.00129231,0.00138374,0.00313301,0.00710857,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,MOVING,STATIONARY,STATIONARY,MOVING,MOVING
46679,913,0.00227488,0.00199899,0.00121054,0.00139543,0.00354781,0.00655730,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
46711,914,0.00209450,0.00190328,0.00203279,0.00138317,0.00320310,0.00593526,RELIABLE,RELIABLE,PARTIAL,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
46743,915,0.00194138,0.00199604,0.00215917,0.00113285,0.00285233,0.00605079,RELIABLE,RELIABLE,RELIABLE,RELIABLE,PARTIAL,PARTIAL,STATIONARY,STATIONARY,STATIONARY,STATIONARY,STATIONARY,MOVING,MOVING
