timestamp_ms,frame_number,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
122277,3643,NO TRIAL,0.30312346,0.00060580,0.00199852,0.00217555,,,0.00257624,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122299,3644,NO TRIAL,0.30314996,0.00031872,0.00105136,0.00210781,,,0.00262549,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122339,3645,NO TRIAL,0.30306173,0.00075211,0.00248171,0.00209953,,,0.00253085,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122387,3646,NO TRIAL,0.30416213,0.00096757,0.00318110,0.00212728,,,0.00270487,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122420,3647,NO TRIAL,0.30442957,0.00046193,0.00151735,0.00215037,,,0.00278365,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122467,3648,NO TRIAL,0.30454465,0.00013385,0.00043951,0.00203190,,,0.00247991,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122486,3649,NO TRIAL,0.30436410,0.00012471,0.00040972,0.00159050,,,0.00207502,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122517,3650,NO TRIAL,0.30426182,0.00161962,0.00532311,0.00205030,,,0.00191306,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122548,3651,NO TRIAL,0.30415051,0.00038217,0.00125653,0.00195755,,,0.00161834,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122595,3652,NO TRIAL,0.30438599,0.00053087,0.00174407,0.00204414,,0.00130661,0.00159431,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122627,3653,NO TRIAL,0.30433714,0.00067908,0.00223134,0.00201284,,0.00213922,0.00134991,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122658,3654,NO TRIAL,0.30465273,0.00048683,0.00159800,0.00181495,,,0.00127602,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122689,3655,NO TRIAL,0.30457762,0.00074045,0.00243107,0.00192917,,,0.00138979,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122721,3656,NO TRIAL,0.30486652,0.00030094,0.00098713,0.00199762,,,0.00126376,,,RELIABLE,UNRELIABLE,UNRELIABLE,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122755,3657,NO TRIAL,0.30466658,0.00095155,0.00312325,0.00233681,,,0.00125112,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122782,3658,NO TRIAL,0.30417758,0.00030331,0.00099714,0.00179607,,0.00879121,0.00174764,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122813,3659,NO TRIAL,0.30437529,0.00043211,0.00141967,0.00181646,,0.00682615,0.00198171,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122844,3660,NO TRIAL,0.30418576,0.00048299,0.00158782,0.00179693,,0.00556656,0.00213590,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122884,3661,NO TRIAL,0.30415467,0.00112106,0.00368583,0.00197874,,0.00453179,0.00213251,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122916,3662,NO TRIAL,0.30428431,0.00009200,0.00030235,0.00181678,,0.00413650,0.00168509,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122964,3663,NO TRIAL,0.30480252,0.00016339,0.00053604,0.00157990,,0.00422738,0.00166242,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
122984,3664,NO TRIAL,0.30441012,0.00065339,0.00214640,0.00172481,,0.00380438,0.00171816,,,RELIABLE,UNRELIABLE,PARTIAL,PARTIAL,UNRELIABLE,UNRELIABLE,STATIONARY,UNCERTAIN,STATIONARY,STATIONARY,UNCERTAIN,UNCERTAIN,STATIONARY
