timestamp_ms,frame_number,track_id,trial,body_scale,HEAD_raw_motion,HEAD_normalized_motion,HEAD_motion,LEFT_EYE_motion,RIGHT_EYE_motion,LEFT_ARM_motion,RIGHT_ARM_motion,TORSO_motion,LEFT_LEG_motion,RIGHT_LEG_motion,HEAD_observability,LEFT_EYE_observability,RIGHT_EYE_observability,LEFT_ARM_observability,RIGHT_ARM_observability,TORSO_observability,LEFT_LEG_observability,RIGHT_LEG_observability,HEAD_state,LEFT_EYE_state,RIGHT_EYE_state,LEFT_ARM_state,RIGHT_ARM_state,TORSO_state,LEFT_LEG_state,RIGHT_LEG_state,OVERALL_state
28412,829,14,NO TRIAL,0.15538642,0.00229877,0.01479387,0.00953316,0.00972699,0.01163733,0.01079058,0.01308626,0.01285258,0.02148965,0.01706030,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28443,830,14,NO TRIAL,0.15489453,0.00131252,0.00847362,0.00919325,0.00799394,0.00967968,0.01216665,0.01323300,0.01252189,0.01970280,0.01646342,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28476,831,14,NO TRIAL,0.15504136,0.00160119,0.01032750,0.00978226,0.00896196,0.01101791,0.01274656,0.01376936,0.01427499,0.02355501,0.01897677,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28508,832,14,NO TRIAL,0.15529861,0.00187575,0.01207831,0.01023877,0.00902198,0.01096811,0.01249068,0.01248466,0.01402599,0.02265536,0.01836604,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28556,833,14,NO TRIAL,0.15463791,0.00071129,0.00459974,0.01020712,0.00905822,0.01071753,0.01202031,0.01134476,0.01358462,0.02286682,0.01751020,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28582,834,14,NO TRIAL,0.15431439,0.00035565,0.00230469,0.00959255,0.00832359,0.01014597,0.01089566,0.01130122,0.01305108,0.02155322,0.01698439,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28613,835,14,NO TRIAL,0.15425774,0.00175761,0.01139401,0.00900186,0.00873296,0.00895064,0.01076349,0.01007831,0.01147354,0.02008855,0.01655780,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28644,836,14,NO TRIAL,0.15360938,0.00137512,0.00895209,0.00911548,0.00859189,0.00903227,0.01080105,0.01082722,0.01138445,0.02014555,0.01695824,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28684,837,14,NO TRIAL,0.15361827,0.00066305,0.00431620,0.00780577,0.00741047,0.00767411,0.00983728,0.01062856,0.01101953,0.01934231,0.01668891,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
28722,838,14,NO TRIAL,0.15362464,0.00033152,0.00215801,0.00701632,0.00650387,0.00709152,0.00814145,0.00897588,0.01029188,0.01880788,0.01526113,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,RELIABLE,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING,MOVING
